"design_id","design_role","temperature_K","pressure_bar","equivalence_ratio","cracking_ratio","inside_experimental_convex_hull"
"map_0038","training","300","5","0.9","0.0","True"
"map_0041","training","300","1","1.0","0.4","True"
"map_0044","training","300","10","1.4","0.3","True"
"map_0047","training","300","5","0.8","0.2","True"
"map_0050","training","450","1","0.9","0.1","True"
"map_0053","training","300","1","0.9","0.3","True"
"map_0056","training","300","1","1.3","0.1","True"
"map_0059","training","300","1","1.3","0.3","True"
"map_0062","training","300","5","1.1","0.1","True"
"map_0065","training","300","5","1.2","0.5","True"
"map_0068","training","300","5","0.8","0.05","True"
"map_0071","training","300","5","1.3","0.05","True"
"map_0074","training","300","20","0.6","0.7","False"
"map_0077","training","300","20","0.6","0.0","False"
"map_0080","training","750","20","0.6","0.7","False"
"map_0083","training","750","1","1.4","0.0","False"
"map_0086","training","450","1","1.0","0.7","False"
"map_0089","training","750","5","1.0","0.7","False"
"map_0092","training","450","5","1.4","0.2","False"
"map_0095","training","450","20","1.0","0.7","False"
"map_0098","training","450","5","0.8","0.0","False"
"map_0101","training","450","20","1.3","0.4","False"
"map_0104","training","600","1","1.4","0.3","False"
"map_0107","training","450","1","0.6","0.7","False"
"map_0110","training","600","5","1.2","0.0","False"
"map_0113","training","600","1","0.7","0.5","False"
"map_0116","training","450","1","0.7","0.0","False"
"map_0119","training","600","20","1.4","0.2","False"
"map_0122","interpolation_holdout","300","10","1.4","0.2","True"
"map_0125","interpolation_holdout","450","5","1.0","0.0","True"
"map_0128","interpolation_holdout","300","5","0.7","0.2","True"
"map_0131","interpolation_holdout","300","1","1.4","0.3","True"
"map_0134","interpolation_holdout","450","1","0.7","0.7","False"
"map_0137","interpolation_holdout","750","1","1.4","0.5","False"
"map_0140","interpolation_holdout","300","20","0.7","0.7","False"
"map_0143","interpolation_holdout","750","10","1.4","0.7","False"
